"filename", "language", "Groovy", "JSON", "YAML", "Properties", "Java", "Markdown", "Batch", "comment", "blank", "total"
"e:\Java\Fracture\.github\workflows\build.yml", "YAML", 0, 0, 31, 0, 0, 0, 0, 6, 3, 40
"e:\Java\Fracture\README.md", "Markdown", 0, 0, 0, 0, 0, 8, 0, 0, 8, 16
"e:\Java\Fracture\build.gradle", "Groovy", 62, 0, 0, 0, 0, 0, 0, 23, 14, 99
"e:\Java\Fracture\gradle.properties", "Properties", 0, 0, 0, 8, 0, 0, 0, 5, 4, 17
"e:\Java\Fracture\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\Java\Fracture\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 68, 0, 22, 90
"e:\Java\Fracture\settings.gradle", "Groovy", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Java\Fracture\src\main\java\fracture\arms\fracture_material.java", "Java", 0, 0, 0, 0, 30, 0, 0, 0, 11, 41
"e:\Java\Fracture\src\main\java\fracture\fracture.java", "Java", 0, 0, 0, 0, 35, 0, 0, 0, 6, 41
"e:\Java\Fracture\src\main\java\fracture\items\items.java", "Java", 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"e:\Java\Fracture\src\main\java\fracture\mixins\DyeColourAccessor.java", "Java", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"e:\Java\Fracture\src\main\java\fracture\mixins\PlayerEntityRendererMixin.java", "Java", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"e:\Java\Fracture\src\main\java\fracture\util\CameraSystem.java", "Java", 0, 0, 0, 0, 43, 0, 0, 23, 15, 81
"e:\Java\Fracture\src\main\java\fracture\util\CameraUpdateCallback.java", "Java", 0, 0, 0, 0, 18, 0, 0, 23, 6, 47
"e:\Java\Fracture\src\main\java\fracture\util\Event\Event.java", "Java", 0, 0, 0, 0, 51, 0, 0, 23, 11, 85
"e:\Java\Fracture\src\main\java\fracture\util\Event\EventHelper.java", "Java", 0, 0, 0, 0, 23, 0, 0, 23, 10, 56
"e:\Java\Fracture\src\main\java\fracture\util\Transform.java", "Java", 0, 0, 0, 0, 12, 0, 0, 23, 5, 40
"e:\Java\Fracture\src\main\java\fracture\wings\Client\InitClient.java", "Java", 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"e:\Java\Fracture\src\main\java\fracture\wings\DeleteHungerMessage.java", "Java", 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"e:\Java\Fracture\src\main\java\fracture\wings\WingItem.java", "Java", 0, 0, 0, 0, 134, 0, 0, 13, 23, 170
"e:\Java\Fracture\src\main\java\fracture\wings\models\ElytraWingModel.java", "Java", 0, 0, 0, 0, 78, 0, 0, 0, 10, 88
"e:\Java\Fracture\src\main\java\fracture\wings\models\WingEntityModel.java", "Java", 0, 0, 0, 0, 97, 0, 0, 2, 16, 115
"e:\Java\Fracture\src\main\java\fracture\wings\models\WingsFeatureRenderer.java", "Java", 0, 0, 0, 0, 83, 0, 0, 0, 11, 94
"e:\Java\Fracture\src\main\java\fracture\wings\wings.java", "Java", 0, 0, 0, 0, 22, 0, 0, 2, 8, 32
"e:\Java\Fracture\src\main\resources\assets\fracture\lang\en_us.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Java\Fracture\src\main\resources\assets\fracture\lang\zh_cn.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Java\Fracture\src\main\resources\assets\fracture\models\item\blackbone_arm.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"e:\Java\Fracture\src\main\resources\assets\fracture\models\item\ceris_big_knief.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"e:\Java\Fracture\src\main\resources\assets\fracture\models\item\ceris_knief.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"e:\Java\Fracture\src\main\resources\assets\fracture\models\item\ciara_boomerang.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"e:\Java\Fracture\src\main\resources\assets\fracture\models\item\dancer_arm.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 43
"e:\Java\Fracture\src\main\resources\assets\fracture\models\item\long_golden_sword.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 43
"e:\Java\Fracture\src\main\resources\assets\fracture\models\item\nether_princess_arm.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"e:\Java\Fracture\src\main\resources\assets\fracture\models\item\patrick_halberd.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 43
"e:\Java\Fracture\src\main\resources\assets\fracture\models\item\white_dragon_wings.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"e:\Java\Fracture\src\main\resources\assets\minecraft\models\item\wings.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"e:\Java\Fracture\src\main\resources\data\fracture\recipes\blackbone_arm.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"e:\Java\Fracture\src\main\resources\data\fracture\recipes\ceris_big_knief.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"e:\Java\Fracture\src\main\resources\data\fracture\recipes\ceris_knief.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"e:\Java\Fracture\src\main\resources\data\fracture\recipes\ciara_boomerang.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"e:\Java\Fracture\src\main\resources\data\fracture\recipes\dancer_arm.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 0, 0, 28
"e:\Java\Fracture\src\main\resources\data\fracture\recipes\long_golden_sword.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 22
"e:\Java\Fracture\src\main\resources\data\fracture\recipes\nether_princess_arm.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"e:\Java\Fracture\src\main\resources\data\fracture\recipes\patrick_halberd.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"e:\Java\Fracture\src\main\resources\fabric.mod.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"Total", "-", 71, 548, 31, 13, 747, 8, 68, 166, 213, 1865